"ogs"	"Z_sum"	"w_sum"	"num_sig"	"Z_meta"	"p_meta"	"qval"	"annot"
"ko:K07154"	-9.18189398781208	4	2	-4.59094699390604	4.41239395515243e-06	0.012244393225548	"hipA; serine/threonine-protein kinase HipA [EC:2.7.11.1]"
"ko:K02387"	-7.92937659788303	3	1	-4.57802771329369	4.69380519344478e-06	1	"flgB; flagellar basal-body rod protein FlgB"
"ko:K02391"	-7.84903831721554	3	1	-4.53164438532408	5.85263139022079e-06	1	"flgF; flagellar basal-body rod protein FlgF"
"ko:K02392"	-7.84903831721554	3	1	-4.53164438532408	5.85263139022079e-06	1	"flgG; flagellar basal-body rod protein FlgG"
"ko:K02397"	-7.84903831721554	3	1	-4.53164438532408	5.85263139022079e-06	1	"flgL; flagellar hook-associated protein 3 FlgL"
"ko:K13643"	-8.93234463824963	4	2	-4.46617231912481	7.96314780328762e-06	0.0218030986854015	"iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor"
"ko:K03410"	-7.71253645800869	3	1	-4.45283500016612	8.47438761872035e-06	1	"cheC; chemotaxis protein CheC"
"ko:K00847"	-7.65643899159093	3	1	-4.42044711282897	9.84968906399161e-06	1	"E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]"
"ko:K02400"	-7.65047440900021	3	1	-4.41700345946461	1.00078629091511e-05	1	"flhA; flagellar biosynthesis protein FlhA"
"ko:K02408"	-7.65047440900021	3	1	-4.41700345946461	1.00078629091511e-05	1	"fliE; flagellar hook-basal body complex protein FliE"
"ko:K02417"	-7.65047440900021	3	1	-4.41700345946461	1.00078629091511e-05	1	"fliN; flagellar motor switch protein FliN"
"ko:K02419"	-7.65047440900021	3	1	-4.41700345946461	1.00078629091511e-05	1	"fliP; flagellar biosynthesis protein FliP"
"ko:K02420"	-7.65047440900021	3	1	-4.41700345946461	1.00078629091511e-05	1	"fliQ; flagellar biosynthesis protein FliQ"
"ko:K02421"	-7.65047440900021	3	1	-4.41700345946461	1.00078629091511e-05	1	"fliR; flagellar biosynthesis protein FliR"
"ko:K03226"	-7.65047440900021	3	1	-4.41700345946461	1.00078629091511e-05	1	"yscR, sctR, hrcR, ssaR; type III secretion protein R"
"ko:K03228"	-7.65047440900021	3	1	-4.41700345946461	1.00078629091511e-05	1	"yscT, sctT, hrcT, ssaT; type III secretion protein T"
"ko:K03229"	-7.65047440900021	3	1	-4.41700345946461	1.00078629091511e-05	1	"yscU, sctU, hrcU, ssaU; type III secretion protein U"
"ko:K04061"	-7.65047440900021	3	1	-4.41700345946461	1.00078629091511e-05	1	"flhB2; flagellar biosynthesis protein"
"ko:K22510"	-7.65047440900021	3	1	-4.41700345946461	1.00078629091511e-05	1	"spaS; type III secretion system export apparatus switch protein"
"ko:K03549"	-8.82450302264845	4	3	-4.41225151132423	1.02301174604363e-05	0.0276315472606384	"kup; KUP system potassium uptake protein"
"ko:K02418"	-7.63368362239275	3	1	-4.40730929429689	1.0466268216841e-05	1	"fliO, fliZ; flagellar protein FliO/FliZ"
"ko:K02390"	-7.58873368771095	3	1	-4.3813574374083	1.1794220318362e-05	1	"flgE; flagellar hook protein FlgE"
"ko:K02412"	-7.49172139190862	3	1	-4.32534736231212	1.52291690714898e-05	1	"fliI; flagellum-specific ATP synthase [EC:7.4.2.8]"
"ko:K03224"	-7.49172139190862	3	1	-4.32534736231212	1.52291690714898e-05	1	"yscN, sctN, hrcN, ssaN; ATP synthase in type III secretion protein N [EC:7.4.2.8]"
"ko:K03223"	-7.47602870041523	3	1	-4.3162871826541	1.58675515740618e-05	1	"yscL, sctL; type III secretion protein L"
"ko:K02416"	-7.44273576450215	3	1	-4.29706549714257	1.73074068300856e-05	1	"fliM; flagellar motor switch protein FliM"
"ko:K02409"	-7.38199046137618	3	1	-4.26199418003079	2.02610721280491e-05	1	"fliF; flagellar M-ring protein FliF"
"ko:K02410"	-7.38199046137618	3	1	-4.26199418003079	2.02610721280491e-05	1	"fliG; flagellar motor switch protein FliG"
"ko:K05800"	-7.36298982881942	3	1	-4.25102415970937	2.12795209706979e-05	1	"ybaO; Lrp/AsnC family transcriptional regulator"
"ko:K02422"	-7.33669817428607	3	1	-4.2358446658871	2.27694147290728e-05	1	"fliS; flagellar secretion chaperone FliS"
"ko:K03415"	-7.21262989523315	3	1	-4.164213811578	3.1242723651324e-05	1	"cheV; two-component system, chemotaxis family, chemotaxis protein CheV"
"ko:K00563"	-7.18272365652025	3	1	-4.14694743660666	3.36937376397479e-05	1	"rlmA1; 23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]"
"ko:K03411"	-7.10689096376561	3	1	-4.1031654110314	4.0753566262859e-05	1	"cheD; chemotaxis protein CheD [EC:3.5.1.44]"
"ko:K03563"	-7.08414092282229	3	1	-4.09003066876869	4.31316153050012e-05	1	"csrA; carbon storage regulator"
"ko:K13626"	-7.08414092282229	3	1	-4.09003066876869	4.31316153050012e-05	1	"fliW; flagellar assembly factor FliW"
"ko:K12944"	-6.88254853308662	3	2	-3.97364124828822	7.07821505553479e-05	0.178583365851143	"nudI; nucleoside triphosphatase [EC:3.6.1.-]"
"ko:K07173"	-7.81788942936956	4	4	-3.90894471468478	9.27001732742328e-05	0.232121233878679	"luxS; S-ribosylhomocysteine lyase [EC:4.4.1.21]"
"ko:K02021"	-6.75665546251708	3	1	-3.90095685010579	9.58132295314507e-05	1	"ABC.MR; putative ABC transport system ATP-binding protein"
"ko:K00824"	-6.75496876854857	3	1	-3.89998303688903	9.61994278877541e-05	1	"dat; D-alanine transaminase [EC:2.6.1.21]"
"ko:K00248"	-6.71738651692678	3	3	-3.87828491379844	0.000105195474594202	0.262041927214158	"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"
"ko:K01267"	-7.74828121267888	4	4	-3.87414060633944	0.000107001623637716	0.265792033116086	"DNPEP; aspartyl aminopeptidase [EC:3.4.11.21]"
"ko:K02557"	-6.6587657204825	3	2	-3.84444018119122	0.000120827953223279	0.300015807853402	"motB; chemotaxis protein MotB"
"ko:K15634"	-7.62874268070071	4	2	-3.81437134035036	0.000136530043213954	0.337638796868108	"gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
"ko:K16554"	-6.59804643565571	3	2	-3.80938388575148	0.000139313512684505	0.344104376330726	"exoP, vpsO; polysaccharide biosynthesis transport protein [EC:2.7.10.3]"
"ko:K02424"	-7.59295304720673	4	2	-3.79647652360337	0.0001467672544845	0.361928049558777	"fliY, tcyA; L-cystine transport system substrate-binding protein"
"ko:K02617"	-7.56408653943777	4	2	-3.78204326971889	0.000155546315297329	0.383110574577321	"paaY; phenylacetic acid degradation protein"
"ko:K06596"	-6.4467092767103	3	2	-3.72200933629595	0.000197643713292967	0.482053016721547	"chpA; chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)"
"ko:K07313"	-7.42099455949251	4	3	-3.71049727974626	0.000206852519489136	0.50306532739758	"pphA; serine/threonine protein phosphatase 1 [EC:3.1.3.16]"
"ko:K02203"	-6.41351133406605	3	1	-3.70284249517375	0.000213197252924385	1	"thrH; phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]"
"ko:K03623"	-6.40624734261195	3	1	-3.69864862775233	0.000216750414157481	1	"yhcO; ribonuclease inhibitor"
"ko:K00965"	-6.36934445042051	3	1	-3.67734273301173	0.000235676287897709	1	"galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]"
"ko:K09691"	-7.32789750537674	4	1	-3.66394875268837	0.000248356497197808	1	"wzt, rbfB; lipopolysaccharide transport system ATP-binding protein"
"ko:K05970"	-6.21618376535866	3	2	-3.588915370262	0.000332056604803633	0.791955002456665	"SIAE; sialate O-acetylesterase [EC:3.1.1.53]"
"ko:K07301"	-8.01136661418869	5	5	-3.58279206839965	0.000339941196802791	0.810079871981051	"yrbG; cation:H+ antiporter"
"ko:K06921"	-7.95204508380804	5	2	-3.55626267350756	0.00037616798128262	0.891997077250323	"K06921; uncharacterized protein"
"ko:K14161"	-7.88749411790389	5	3	-3.52739460395257	0.000419670803572494	0.990003425627513	"imuB; protein ImuB"
"ko:K11904"	-6.07959499576481	3	1	-3.51005580736872	0.000448012653824353	1	"vgrG; type VI secretion system secreted protein VgrG"
"ko:K02407"	-7.00051372205703	4	1	-3.50025686102852	0.000464810043187613	1	"fliD; flagellar hook-associated protein 2"
"ko:K20391"	-6.0252104757907	3	1	-3.47865689012192	0.00050393335514197	1	"plcR; HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes"
"ko:K05919"	-6.92022789651536	4	1	-3.46011394825768	0.000539946847923336	1	"dfx; superoxide reductase [EC:1.15.1.2]"
"ko:K18997"	-5.98851628301658	3	1	-3.45747148804608	0.000545269937934862	1	"cbpM; chaperone modulatory protein CbpM"
"ko:K06987"	-6.88342528097822	4	2	-3.44171264048911	0.000578043952406179	1	"K06987; uncharacterized protein"
"ko:K02406"	-5.92592392873014	3	1	-3.42133377544959	0.000623148043133766	1	"fliC, hag; flagellin"
"ko:K02103"	-5.8520145761607	3	1	-3.37866219084799	0.000728394519239588	1	"araR; GntR family transcriptional regulator, arabinose operon transcriptional repressor"
"ko:K03649"	-6.73975982355435	4	2	-3.36987991177718	0.000752009485809612	1	"mug; double-stranded uracil-DNA glycosylase [EC:3.2.2.28]"
"ko:K02396"	-7.48642418901318	5	3	-3.34803067900644	0.000813880012046498	1	"flgK; flagellar hook-associated protein 1"
"ko:K04562"	-5.79274637551339	3	1	-3.34444367924989	0.000824477679171656	1	"flhG, fleN; flagellar biosynthesis protein FlhG"
"ko:K03566"	-5.77835731267642	3	2	-3.33613614994757	0.000849515487786314	1	"gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator"
"ko:K01361"	-6.66247397465435	4	1	-3.33123698732718	0.000864609607850859	1	"E3.4.21.96; lactocepin [EC:3.4.21.96]"
"ko:K14392"	-6.64226333896025	4	1	-3.32113166948013	0.000896532311073073	1	"panF; sodium/pantothenate symporter"
"ko:K05338"	-7.35771507817155	5	4	-3.29047021477335	0.0010002009006133	1	"lrgA; holin-like protein"
"ko:K07080"	-5.64553061560998	3	1	-3.2594486206407	0.00111628997645406	1	"K07080; uncharacterized protein"
"ko:K19221"	-5.61540338436252	3	1	-3.24205465557004	0.00118671261171624	1	"cobA, btuR; cob(I)alamin adenosyltransferase [EC:2.5.1.17]"
"ko:K02487"	-5.60761689054894	3	2	-3.23755912127072	0.00120556957238444	1	NA
"ko:K02476"	-7.18948318411939	5	1	-3.21523462455652	0.00130337944372486	1	"K02476; two-component system, CitB family, sensor kinase [EC:2.7.13.3]"
"ko:K03969"	-5.56669684553606	3	1	-3.21393392226728	0.00130929800209061	1	"pspA; phage shock protein A"
"ko:K13924"	-6.39802727350001	4	1	-3.19901363675001	0.00137898645928524	1	"cheBR; two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]"
"ko:K12152"	-5.51113383735929	3	2	-3.18185460453944	0.00146335261174628	1	"nudJ; phosphatase NudJ [EC:3.6.1.-]"
"ko:K20543"	-5.47384968510549	3	1	-3.1603285891992	0.00157591301763994	1	"bcsC; cellulose synthase operon protein C"
"ko:K16788"	-6.30239183525577	4	2	-3.15119591762789	0.00162603379432683	1	"niaX; niacin transporter"
"ko:K19159"	-5.44840660755512	3	1	-3.14563902152649	0.00165724411432456	1	"yefM; antitoxin YefM"
"ko:K17213"	-6.28873486523458	4	1	-3.14436743261729	0.00166446306137436	1	"K17213; inositol transport system substrate-binding protein"
"ko:K02656"	-5.42787200007874	3	2	-3.13378336037229	0.00172568210625747	1	"pilF; type IV pilus assembly protein PilF"
"ko:K22306"	-6.24468536759217	4	3	-3.12234268379609	0.00179417964580504	1	"gpgP; glucosyl-3-phosphoglycerate phosphatase [EC:3.1.3.85]"
"ko:K15011"	-5.38134996144755	3	1	-3.10692384884532	0.00189045089628675	1	"regB, regS, actS; two-component system, sensor histidine kinase RegB [EC:2.7.13.3]"
"ko:K02385"	-5.36519779159217	3	1	-3.09759838923133	0.00195095622279085	1	"flbD; flagellar protein FlbD"
"ko:K01839"	-5.34086125472962	3	3	-3.08354768312259	0.00204548327641077	1	"deoB; phosphopentomutase [EC:5.4.2.7]"
"ko:K02051"	-6.15572467372035	4	2	-3.07786233686018	0.00208491204494643	1	"ABC.SN.S; NitT/TauT family transport system substrate-binding protein"
"ko:K01181"	-6.86737433344725	5	2	-3.07118316730507	0.00213212310665346	1	"E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]"
"ko:K02556"	-5.30272590300083	3	1	-3.06153022753633	0.00220208756385759	1	"motA; chemotaxis protein MotA"
"ko:K02669"	-6.11605351818379	4	3	-3.0580267590919	0.00222799679839148	1	"pilT; twitching motility protein PilT"
"ko:K20276"	-5.95616071067108	4	1	-2.97808035533554	0.00290059928247625	1	"bapA; large repetitive protein"
"ko:K22043"	-5.13836693178048	3	1	-2.96663753125853	0.003010756725488	1	"czrA; ArsR family transcriptional regulator, zinc-responsive transcriptional repressor"
"ko:K07814"	-5.08340101354802	3	1	-2.93490294357077	0.00333652032816464	1	"K07814; cyclic di-GMP phosphodiesterase [EC:3.1.4.-]"
"ko:K03408"	-4.99297396818205	3	1	-2.8826948645867	0.00394289177062085	1	"cheW; purine-binding chemotaxis protein CheW"
"ko:K01154"	-6.42684640356511	5	0	-2.87417308786433	0.00405086893324272	1	"hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]"
"ko:K07010"	-6.42090196820486	5	2	-2.87151465555365	0.00408509839399452	1	"K07010; putative glutamine amidotransferase"
"ko:K22026"	-5.70627898947275	4	3	-2.85313949473637	0.00432896143765459	1	"K22026; nucleoside kinase [EC:2.7.1.73 2.7.1.213 2.7.1.-]"
"ko:K18700"	-4.91553187060192	3	2	-2.8379836487022	0.00453995082936156	1	"flK; fluoroacetyl-CoA thioesterase [EC:3.1.2.29]"
"ko:K01768"	-4.89137213827213	3	2	-2.82403502073805	0.0047423202848564	1	"E4.6.1.1; adenylate cyclase [EC:4.6.1.1]"
"ko:K00074"	-5.63855157582654	4	3	-2.81927578791327	0.00481321439590732	1	"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"
"ko:K21481"	-4.82804210654093	3	2	-2.78747140987026	0.00531211413932025	1	"mhuD; heme oxygenase (mycobilin-producing) [EC:1.14.99.57]"
"ko:K12141"	-4.81488563730484	3	1	-2.77987551881521	0.00543797394363	1	"hyfF; hydrogenase-4 component F [EC:1.-.-.-]"
"ko:K03717"	-4.74968139446712	3	1	-2.74222983166055	0.00610236268814145	1	"nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA"
"ko:K06907"	-5.47132313087837	4	2	-2.73566156543919	0.00622550168197143	1	"K06907; uncharacterized protein"
"ko:K12528"	-5.42620811185735	4	3	-2.71310405592867	0.00666561721116712	1	"xdhD; putative selenate reductase molybdopterin-binding subunit"
"ko:K12056"	-4.680328048523	3	1	-2.70218865871051	0.00688846641807005	1	"traG; conjugal transfer mating pair stabilization protein TraG"
"ko:K03924"	-4.62674694821489	3	1	-2.67125359602414	0.0075568531221147	1	"moxR; MoxR-like ATPase [EC:3.6.3.-]"
"ko:K14188"	-4.62025308043097	3	1	-2.66750435971102	0.00764168977015695	1	"dltC; D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]"
"ko:K00856"	-5.32958754722624	4	3	-2.66479377361312	0.00770355481133574	1	"ADK, adoK; adenosine kinase [EC:2.7.1.20]"
"ko:K02058"	-4.61462329797558	3	1	-2.66425400329492	0.00771592771208625	1	"ABC.SS.S; simple sugar transport system substrate-binding protein"
"ko:K02243"	-4.55714571944049	3	1	-2.63106930785532	0.00851166757924619	1	"comGA; competence protein ComGA"
"ko:K02395"	-4.54313957351357	3	2	-2.6229828557341	0.00871636585542217	1	"flgJ; peptidoglycan hydrolase FlgJ"
"ko:K01156"	-5.85980250746916	5	2	-2.62058334828495	0.00877794698620999	1	"res; type III restriction enzyme [EC:3.1.21.5]"
"ko:K03342"	-5.22993534911538	4	3	-2.61496767455769	0.00892359005158641	1	"pabBC; para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase [EC:2.6.1.85 4.1.3.38]"
"ko:K01579"	-4.52519735730208	3	3	-2.61262391237454	0.00898501145996665	1	"panD; aspartate 1-decarboxylase [EC:4.1.1.11]"
"ko:K12999"	-4.48973994139917	3	1	-2.59215256375823	0.00953774648437937	1	"rgpI; glucosyltransferase [EC:2.4.1.-]"
"ko:K03522"	-4.4887053059745	3	3	-2.59155521671728	0.00955432079080871	1	"fixB, etfA; electron transfer flavoprotein alpha subunit"
"ko:K09749"	-4.47838180974903	3	2	-2.58559494339253	0.00972110957254258	1	"K09749; uncharacterized protein"
"ko:K16087"	-4.45028008622108	3	1	-2.56937040574897	0.010188349140359	1	"TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR; hemoglobin/transferrin/lactoferrin receptor protein"
"ko:K07717"	-4.44549868047056	3	1	-2.5666098598518	0.0102698087647035	1	"glnK; two-component system, sensor histidine kinase GlnK [EC:2.7.13.3]"
"ko:K02005"	-4.38217652726445	3	2	-2.53005079765259	0.0114046013961583	1	"ABC.CD.TX; HlyD family secretion protein"
"ko:K07317"	-5.03618896152139	4	1	-2.51809448076069	0.0117991665658308	1	"K07317; adenine-specific DNA-methyltransferase [EC:2.1.1.72]"
"ko:K02280"	-4.35136458784772	3	1	-2.51226151613609	0.0119960155147693	1	"cpaC, rcpA; pilus assembly protein CpaC"
"ko:K06906"	-4.34937277433675	3	1	-2.51111154206935	0.0120351662420903	1	"K06906; uncharacterized protein"
"ko:K07271"	-4.99618228227208	4	1	-2.49809114113604	0.0124864086401166	1	"licD; lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]"
"ko:K02191"	-4.98976366837362	4	3	-2.49488183418681	0.0125999081808461	1	"cbiT; cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]"
"ko:K00091"	-4.98903556308299	4	1	-2.4945177815415	0.0126128406818133	1	"E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]"
"ko:K09809"	-5.52796233834542	5	1	-2.47217991311981	0.0134291913253226	1	"tagF; CDP-glycerol glycerophosphotransferase [EC:2.7.8.12]"
"ko:K06905"	-5.524140261714	5	2	-2.4704706284872	0.0134935399261424	1	"K06905; uncharacterized protein"
"ko:K03296"	-4.2773848473727	3	1	-2.46954929305825	0.0135283378733019	1	"TC.HAE1; hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family"
"ko:K03521"	-4.26519222080584	3	3	-2.46250987682775	0.0137968372804132	1	"fixA, etfB; electron transfer flavoprotein beta subunit"
"ko:K02456"	-4.25172420608744	3	1	-2.45473411490463	0.0140988825864338	1	"gspG; general secretion pathway protein G"
"ko:K01247"	-4.89907954405125	4	1	-2.44953977202563	0.0143038911789026	1	"alkA; DNA-3-methyladenine glycosylase II [EC:3.2.2.21]"
"ko:K08320"	-5.45567935901922	5	1	-2.43985398204189	0.0146931995783534	1	"nudG; (d)CTP diphosphatase [EC:3.6.1.65]"
"ko:K07706"	-4.21663087828888	3	2	-2.43447297265337	0.0149134935641989	1	"agrC, blpH, fsrC; two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]"
"ko:K01081"	-5.37474794476485	5	3	-2.4036603532843	0.0162318464343914	1	"E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]"
"ko:K12070"	-4.15892196009649	3	1	-2.40115471320035	0.0163434249390806	1	"traI; conjugal transfer pilus assembly protein TraI"
"ko:K02278"	-4.7962728266854	4	1	-2.3981364133427	0.0164787270355047	1	"cpaA, tadV; prepilin peptidase CpaA [EC:3.4.23.43]"
"ko:K15986"	-4.78759570706719	4	3	-2.39379785353359	0.0166749361191553	1	"ppaC; manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]"
"ko:K21470"	-4.78379577512827	4	1	-2.39189788756414	0.0167615049774185	1	"ycbB; L,D-transpeptidase YcbB"
"ko:K07016"	-4.13692123944432	3	1	-2.38845259120946	0.0169194911233405	1	"csm1, cas10; CRISPR-associated protein Csm1"
"ko:K03429"	-4.74061861612288	4	3	-2.37030930806144	0.0177732095479183	1	"ugtP; processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]"
"ko:K15912"	-4.73961095570274	4	2	-2.36980547785137	0.0177974461021702	1	"pglF; UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135]"
"ko:K03117"	-4.07284689160401	3	1	-2.35145924923571	0.0186999378100653	1	"tatB; sec-independent protein translocase protein TatB"
"ko:K13640"	-4.06537399997204	3	1	-2.34714477324036	0.0189179025575062	1	"hspR; MerR family transcriptional regulator, heat shock protein HspR"
"ko:K02489"	-4.05423161894876	3	1	-2.34071171655716	0.0192470223089176	1	"hk1; two-component system, glycerol uptake and utilization sensor kinase [EC:2.7.13.3]"
"ko:K08640"	-4.05164434678761	3	1	-2.33921795427845	0.0193241563408939	1	"E3.4.17.14; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]"
"ko:K03282"	-5.19319273859263	5	1	-2.32246639675028	0.020207835780456	1	"mscL; large conductance mechanosensitive channel"
"ko:K11626"	-4.01720877237616	3	2	-2.3193365661223	0.0203767942198812	1	"glnT; putative sodium/glutamine symporter"
"ko:K03399"	-4.63633433084581	4	3	-2.3181671654229	0.0204402377653701	1	"cbiE; cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]"
"ko:K06908"	-4.01110855483691	3	1	-2.3158146038839	0.020568393513315	1	"K06908; uncharacterized protein"
"ko:K03412"	-3.995547018008	3	1	-2.30683014640673	0.0210642909414173	1	"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"
"ko:K10254"	-3.97387208728385	3	1	-2.29431611931847	0.0217723473388642	1	"ohyA, sph; oleate hydratase [EC:4.2.1.53]"
"ko:K07341"	-5.11544877243586	5	1	-2.28769823811689	0.0221551003844535	1	"doc; death on curing protein"
"ko:K17320"	-3.95501895277845	3	1	-2.28343125703671	0.0224049778333266	1	"lplC; putative aldouronate transport system permease protein"
"ko:K01710"	-3.94318290202854	3	1	-2.27659770995011	0.022810259764323	1	"rfbB, rmlB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]"
"ko:K04107"	-4.54625798730591	4	3	-2.27312899365296	0.0230184076814608	1	"hcrC, hbaB; 4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.1.7.1]"
"ko:K09157"	-3.92771573420878	3	1	-2.26766773644577	0.0233494657330488	1	"K09157; uncharacterized protein"
"ko:K03427"	-4.49406843628953	4	1	-2.24703421814477	0.0246378403488681	1	"hsdM; type I restriction enzyme M protein [EC:2.1.1.72]"
"ko:K03556"	-4.47613904831293	4	1	-2.23806952415646	0.0252165216769622	1	"malT; LuxR family transcriptional regulator, maltose regulon positive regulatory protein"
"ko:K03320"	-4.92793748247868	5	3	-2.2038406399383	0.0275355533717849	1	"amt, AMT, MEP; ammonium transporter, Amt family"
"ko:K10193"	-3.80434995847558	3	1	-2.19644247261742	0.0280602884704829	1	"togM; oligogalacturonide transport system permease protein"
"ko:K01719"	-3.80351685033789	3	1	-2.19596147740986	0.0280947007833752	1	"hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]"
"ko:K02014"	-3.80146707086128	3	1	-2.19477803667726	0.0281795237242002	1	"TC.FEV.OM; iron complex outermembrane recepter protein"
"ko:K07726"	-4.36495291293351	4	1	-2.18247645646675	0.0290743869965133	1	"K07726; putative transcriptional regulator"
