genome	magscot_domain	magscot_score	cluster_97_final	genome_rep97	GreatApes_95_final	kingdom	phylum	class	order	family	genus	species	in_manara	in_uhgg	novel
E07188-L1_cleanbin_000018	Bacteria	0.920238095238095	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07172-L1_cleanbin_000028	Bacteria	0.915677966101695	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07190-L1_cleanbin_000012	Bacteria	0.895833333333333	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
G02654-L1_cleanbin_000007	Bacteria	0.891203703703704	Ptver_cluster97_000214	G02654-L1_cleanbin_000007	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07154-L1_cleanbin_000019	Bacteria	0.877314814814815	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07147-L1_cleanbin_000026	Bacteria	0.873481308411215	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07175-L1_cleanbin_000028	Bacteria	0.838461538461538	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
H07618-L1_cleanbin_000045	Bacteria	0.819949494949495	HsA1_cluster97_000015	H07603-L1_cleanbin_000002	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07196-L1_cleanbin_000026	Bacteria	0.819166666666667	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07189-L1_cleanbin_000049	Bacteria	0.769072164948454	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
H07639-L1_cleanbin_000018	Bacteria	0.7625	HsA2_cluster97_000210	H07639-L1_cleanbin_000018	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07148-L1_cleanbin_000035	Bacteria	0.729891304347826	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07160-L1_cleanbin_000058	Bacteria	0.667857142857143	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
ManaraSGB1815	Bacteria	0.664660493827161	ManaraSGB1815	ManaraSGB1815	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
H07620-L1_cleanbin_000041	Bacteria	0.652004219409283	HsA2_cluster97_000210	H07639-L1_cleanbin_000018	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07139-L1_cleanbin_000028	Bacteria	0.630357142857143	HsG_cluster97_000038	E07197-L1_cleanbin_000005	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
E07178-L1_cleanbin_000045	Bacteria	0.542424242424242	HsG_cluster97_000425	E07178-L1_cleanbin_000045	GreatApes_cluster95_000013	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_dorei	TRUE	TRUE	FALSE
MGYG000001551	Bacteria	1	MGYG000001551	MGYG000001551	GreatApes_cluster95_000014	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__Odoribacter_massiliensis	FALSE	TRUE	FALSE
G02624-L1_cleanbin_000001	Bacteria	1	Ptver_cluster97_000003	G02624-L1_cleanbin_000001	GreatApes_cluster95_000015	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_spGreatApes000015	FALSE	FALSE	TRUE
G02640-L1_cleanbin_000001	Bacteria	1	Ptver_cluster97_000003	G02624-L1_cleanbin_000001	GreatApes_cluster95_000015	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_spGreatApes000015	FALSE	FALSE	TRUE
H07645-L1_cleanbin_000001	Bacteria	0.995833333333333	Ptver_cluster97_000003	G02624-L1_cleanbin_000001	GreatApes_cluster95_000015	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_spGreatApes000015	FALSE	FALSE	TRUE
G02626-L1_cleanbin_000009	Bacteria	0.953985507246377	Ptver_cluster97_000003	G02624-L1_cleanbin_000001	GreatApes_cluster95_000015	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_spGreatApes000015	FALSE	FALSE	TRUE
G02649-L1_cleanbin_000040	Bacteria	0.878616352201258	Ptver_cluster97_000003	G02624-L1_cleanbin_000001	GreatApes_cluster95_000015	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_spGreatApes000015	FALSE	FALSE	TRUE
G02636-L1_cleanbin_000026	Bacteria	0.873899371069182	Ptver_cluster97_000003	G02624-L1_cleanbin_000001	GreatApes_cluster95_000015	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_spGreatApes000015	FALSE	FALSE	TRUE
G02653-L1_cleanbin_000051	Bacteria	0.833333333333333	Ptver_cluster97_000003	G02624-L1_cleanbin_000001	GreatApes_cluster95_000015	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_spGreatApes000015	FALSE	FALSE	TRUE
G02621-L1_cleanbin_000031	Bacteria	0.559313725490196	Ptver_cluster97_000500	G02621-L1_cleanbin_000031	GreatApes_cluster95_000015	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_spGreatApes000015	FALSE	FALSE	TRUE
MGYG000004474	Bacteria	1	MGYG000004474	MGYG000004474	GreatApes_cluster95_000016	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp004557565	TRUE	TRUE	FALSE
H07598-L1_cleanbin_000004	Bacteria	0.983333333333333	HsA2_cluster97_000034	H07598-L1_cleanbin_000004	GreatApes_cluster95_000016	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp004557565	TRUE	TRUE	FALSE
H07641-L1_cleanbin_000004	Bacteria	0.983333333333333	HsA2_cluster97_000035	H07641-L1_cleanbin_000004	GreatApes_cluster95_000016	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp004557565	TRUE	TRUE	FALSE
E07193-L1_cleanbin_000006	Bacteria	0.97909604519774	HsG_cluster97_000085	E07193-L1_cleanbin_000006	GreatApes_cluster95_000016	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp004557565	TRUE	TRUE	FALSE
H07644-L1_cleanbin_000008	Bacteria	0.975	HsA2_cluster97_000049	H07644-L1_cleanbin_000008	GreatApes_cluster95_000016	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp004557565	TRUE	TRUE	FALSE
H07643-L1_cleanbin_000008	Bacteria	0.970726495726496	HsA2_cluster97_000062	H07643-L1_cleanbin_000008	GreatApes_cluster95_000016	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp004557565	TRUE	TRUE	FALSE
E07190-L1_cleanbin_000005	Bacteria	0.96235632183908	HsG_cluster97_000085	E07193-L1_cleanbin_000006	GreatApes_cluster95_000016	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp004557565	TRUE	TRUE	FALSE
H07599-L1_cleanbin_000012	Bacteria	0.958333333333333	HsA2_cluster97_000076	H07599-L1_cleanbin_000012	GreatApes_cluster95_000016	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp004557565	TRUE	TRUE	FALSE
H07597-L1_cleanbin_000005	Bacteria	0.945614035087719	HsA2_cluster97_000096	H07597-L1_cleanbin_000005	GreatApes_cluster95_000016	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp004557565	TRUE	TRUE	FALSE
E07175-L1_cleanbin_000021	Bacteria	0.941666666666667	HsG_cluster97_000085	E07193-L1_cleanbin_000006	GreatApes_cluster95_000016	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp004557565	TRUE	TRUE	FALSE
H07628-L1_cleanbin_000023	Bacteria	0.866666666666667	HsA1_cluster97_000186	H07628-L1_cleanbin_000023	GreatApes_cluster95_000016	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp004557565	TRUE	TRUE	FALSE
ManaraSGB2021	Bacteria	0.658333333333333	ManaraSGB2021	ManaraSGB2021	GreatApes_cluster95_000016	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp004557565	TRUE	TRUE	FALSE
ManaraSGB20178	Bacteria	1	ManaraSGB20178	ManaraSGB20178	GreatApes_cluster95_000017	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__Sodaliphilus_sp002476625	TRUE	FALSE	FALSE
MGYG000000415	Bacteria	1	MGYG000000415	MGYG000000415	GreatApes_cluster95_000018	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA11471	g__UBA11471	s__UBA11471_sp900547555	FALSE	TRUE	FALSE
MGYG000000653	Bacteria	1	MGYG000000653	MGYG000000653	GreatApes_cluster95_000019	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA11471	g__UBA11471	s__UBA11471_sp000434215	FALSE	TRUE	FALSE
MGYG000000956	Bacteria	1	MGYG000000956	MGYG000000956	GreatApes_cluster95_000020	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella_A	s__Barnesiella_A_sp900538705	FALSE	TRUE	FALSE
MGYG000004464	Bacteria	1	MGYG000004464	MGYG000004464	GreatApes_cluster95_000021	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella_A	s__Barnesiella_A_excrementipullorum	FALSE	TRUE	FALSE
E07172-L1_cleanbin_000001	Bacteria	1	HsG_cluster97_000006	E07172-L1_cleanbin_000001	GreatApes_cluster95_000022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	FALSE	TRUE	FALSE
MGYG000000144	Bacteria	1	MGYG000000144	MGYG000000144	GreatApes_cluster95_000022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	FALSE	TRUE	FALSE
E07175-L1_cleanbin_000003	Bacteria	0.995833333333333	HsG_cluster97_000006	E07172-L1_cleanbin_000001	GreatApes_cluster95_000022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	FALSE	TRUE	FALSE
E07180-L1_cleanbin_000002	Bacteria	0.995833333333333	HsG_cluster97_000006	E07172-L1_cleanbin_000001	GreatApes_cluster95_000022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	FALSE	TRUE	FALSE
H07639-L1_cleanbin_000002	Bacteria	0.995833333333333	HsA2_cluster97_000013	H07639-L1_cleanbin_000002	GreatApes_cluster95_000022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	FALSE	TRUE	FALSE
E07188-L1_cleanbin_000002	Bacteria	0.991666666666667	HsG_cluster97_000006	E07172-L1_cleanbin_000001	GreatApes_cluster95_000022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	FALSE	TRUE	FALSE
E07192-L1_cleanbin_000004	Bacteria	0.987464985994398	HsG_cluster97_000006	E07172-L1_cleanbin_000001	GreatApes_cluster95_000022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	FALSE	TRUE	FALSE
E07182-L1_cleanbin_000009	Bacteria	0.96235632183908	HsG_cluster97_000006	E07172-L1_cleanbin_000001	GreatApes_cluster95_000022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	FALSE	TRUE	FALSE
E07150-L1_cleanbin_000022	Bacteria	0.953985507246377	HsG_cluster97_000006	E07172-L1_cleanbin_000001	GreatApes_cluster95_000022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	FALSE	TRUE	FALSE
E07189-L1_cleanbin_000026	Bacteria	0.936842105263158	HsG_cluster97_000006	E07172-L1_cleanbin_000001	GreatApes_cluster95_000022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	FALSE	TRUE	FALSE
E07178-L1_cleanbin_000018	Bacteria	0.932817109144543	HsG_cluster97_000006	E07172-L1_cleanbin_000001	GreatApes_cluster95_000022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	FALSE	TRUE	FALSE
E07139-L1_cleanbin_000031	Bacteria	0.591666666666667	HsG_cluster97_000411	E07139-L1_cleanbin_000031	GreatApes_cluster95_000022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	FALSE	TRUE	FALSE
MGYG000004090	Bacteria	1	MGYG000004090	MGYG000004090	GreatApes_cluster95_000023	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Limisoma	s__Limisoma_gallistercoris	FALSE	TRUE	FALSE
MGYG000001420	Bacteria	1	MGYG000001420	MGYG000001420	GreatApes_cluster95_000024	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_senegalensis	FALSE	TRUE	FALSE
E07196-L1_cleanbin_000018	Bacteria	0.912121212121212	HsG_cluster97_000223	E07196-L1_cleanbin_000018	GreatApes_cluster95_000024	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_senegalensis	FALSE	TRUE	FALSE
G02654-L1_cleanbin_000010	Bacteria	0.806462585034014	Ptver_cluster97_000270	G02654-L1_cleanbin_000010	GreatApes_cluster95_000024	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_senegalensis	FALSE	TRUE	FALSE
MGYG000002937	Bacteria	1	MGYG000002937	MGYG000002937	GreatApes_cluster95_000025	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_G	f__Sporolactobacillaceae	g__Sporolactobacillus	s__Sporolactobacillus_sp900543345	FALSE	TRUE	FALSE
H07616-L1_cleanbin_000001	Bacteria	1	Gberingei_cluster97_000001	H07616-L1_cleanbin_000001	GreatApes_cluster95_000026	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Oxalobacter	s__Oxalobacter_spGreatApes000026	FALSE	FALSE	TRUE
H07634-L1_cleanbin_000009	Bacteria	0.974858757062147	Gberingei_cluster97_000001	H07616-L1_cleanbin_000001	GreatApes_cluster95_000026	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Oxalobacter	s__Oxalobacter_spGreatApes000026	FALSE	FALSE	TRUE
MGYG000001331	Bacteria	1	MGYG000001331	MGYG000001331	GreatApes_cluster95_000027	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Oxalobacter	s__Oxalobacter_formigenes	FALSE	TRUE	FALSE
MGYG000002703	Bacteria	1	MGYG000002703	MGYG000002703	GreatApes_cluster95_000028	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Oxalobacter	s__Oxalobacter_sp905202055	FALSE	TRUE	FALSE
