"mod"	"comp"	"n"	"n_sig"	"p"	"est"	"mean_sig_est"	"q"	"V2"
"md:M00035"	"human"	7	2	0.0953772030202089	4.81763956364698	-0.848656171533694	1	"Methionine degradation"
"md:M00035"	"hdi_diff"	7	1	0.317943483691064	2.96799270378516	0.192460969188136	1	"Methionine degradation"
"md:M00036"	"human"	13	1	0.645781468757014	1.00297767076725	0.327690977272584	1	"Leucine degradation, leucine => acetoacetate + acetyl-CoA"
"md:M00036"	"hdi_diff"	13	2	0.149725746041921	3.23949267034717	0.380309743207049	1	"Leucine degradation, leucine => acetoacetate + acetyl-CoA"
"md:M00038"	"human"	11	3	0.0466612846958243	4.51837113784952	-0.530170845776696	1	"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"
"md:M00038"	"hdi_diff"	11	3	0.017960788449092	6.68623073299176	0.482467369472627	1	"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"
"md:M00039"	"human"	12	0	1	0	0.0871086193787465	1	"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"
"md:M00039"	"hdi_diff"	12	0	1	0	-0.00492002733863943	1	"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"
"md:M00040"	"human"	8	0	1	0	-0.0324402682970895	1	"Tyrosine biosynthesis, chorismate => arogenate => tyrosine"
"md:M00040"	"hdi_diff"	8	0	1	0	-0.0131234476483634	1	"Tyrosine biosynthesis, chorismate => arogenate => tyrosine"
"md:M00042"	"human"	5	1	0.329079506857383	3.0097458283033	-1.70524941727527	1	"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"
"md:M00042"	"hdi_diff"	5	1	0.239139506216474	4.4521938071492	1.37294308417429	1	"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"
"md:M00044"	"human"	9	0	1	0	0.227822032875498	1	"Tyrosine degradation, tyrosine => homogentisate"
"md:M00044"	"hdi_diff"	9	0	1	0	0.0496530288021834	1	"Tyrosine degradation, tyrosine => homogentisate"
"md:M00045"	"human"	8	5	0.000121555821458284	20.0899190961624	0.73510519576233	0.193516867761589	"Histidine degradation, histidine => N-formiminoglutamate => glutamate"
"md:M00045"	"hdi_diff"	8	1	0.354231891695756	2.54389339237334	-0.209350473880179	1	"Histidine degradation, histidine => N-formiminoglutamate => glutamate"
"md:M00046"	"human"	6	1	0.38055745426625	2.40774161159199	-0.489679107226281	1	"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
"md:M00046"	"hdi_diff"	6	2	0.0367497213169219	8.91081672480496	0.537758517568968	1	"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
"md:M00048"	"human"	24	1	0.852870813090792	0.523087599082684	-0.183032487411183	1	"De novo purine biosynthesis, PRPP + glutamine => IMP"
"md:M00048"	"hdi_diff"	24	3	0.132808622855852	2.54616922212281	0.0939033752121869	1	"De novo purine biosynthesis, PRPP + glutamine => IMP"
"md:M00049"	"human"	7	0	1	0	-0.29750153419289	1	"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
"md:M00049"	"hdi_diff"	7	0	1	0	0.0817174843445664	1	"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"
"md:M00050"	"human"	5	0	1	0	-0.0441895041438881	1	"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
"md:M00050"	"hdi_diff"	5	0	1	0	-0.0232221251230784	1	"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP"
"md:M00051"	"human"	15	1	0.69806935267474	0.859620151339201	-0.248997006102514	1	"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
"md:M00051"	"hdi_diff"	15	2	0.18828099395257	2.74094202197547	0.0242770681645759	1	"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
"md:M00052"	"human"	6	0	1	0	-0.0456431316922651	1	"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
"md:M00052"	"hdi_diff"	6	0	1	0	-0.0252841254949469	1	"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
"md:M00053"	"human"	6	0	1	0	0.0694653320679164	1	"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
"md:M00053"	"hdi_diff"	6	0	1	0	-0.0137094021136407	1	"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
"md:M00055"	"human"	13	0	1	0	0.132865774124904	1	"N-glycan precursor biosynthesis"
"md:M00055"	"hdi_diff"	13	1	0.508703790411212	1.48369027573416	0.365392488493734	1	"N-glycan precursor biosynthesis"
"md:M00056"	"human"	7	0	1	0	0	1	"O-glycan biosynthesis, mucin type core"
"md:M00056"	"hdi_diff"	7	0	1	0	0	1	"O-glycan biosynthesis, mucin type core"
"md:M00059"	"human"	10	3	0.035939705512527	5.16443658419423	0.843081289055672	1	"Glycosaminoglycan biosynthesis, heparan sulfate backbone"
"md:M00059"	"hdi_diff"	10	3	0.0135928703065339	7.64331265746142	1.72718858076233	1	"Glycosaminoglycan biosynthesis, heparan sulfate backbone"
"md:M00060"	"human"	10	0	1	0	0.480854683697734	1	"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type"
"md:M00060"	"hdi_diff"	10	0	1	0	-0.436517513850584	1	"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type"
"md:M00061"	"human"	7	1	0.428087496140591	2.00640786050155	-0.243044160915124	1	"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P"
"md:M00061"	"hdi_diff"	7	1	0.317943483691064	2.96799270378516	0.277504584273016	1	"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P"
"md:M00064"	"human"	6	1	0.38055745426625	2.40774161159199	0.425524685459341	1	"ADP-L-glycero-D-manno-heptose biosynthesis"
"md:M00064"	"hdi_diff"	6	0	1	0	0.0326172172509303	1	"ADP-L-glycero-D-manno-heptose biosynthesis"
"md:M00065"	"human"	18	0	1	0	0.070458626674873	1	"GPI-anchor biosynthesis, core oligosaccharide"
"md:M00065"	"hdi_diff"	18	1	0.626245580139818	1.04714477456688	0.281277112263088	1	"GPI-anchor biosynthesis, core oligosaccharide"
"md:M00071"	"human"	5	0	1	0	0	1	"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer"
"md:M00071"	"hdi_diff"	5	0	1	0	0	1	"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer"
"md:M00072"	"human"	8	1	0.471972259385489	1.71970315176048	-0.387502916684441	1	"N-glycosylation by oligosaccharyltransferase"
"md:M00072"	"hdi_diff"	8	0	1	0	-0.012866303272814	1	"N-glycosylation by oligosaccharyltransferase"
"md:M00074"	"human"	11	0	1	0	0	1	"N-glycan biosynthesis, high-mannose type"
"md:M00074"	"hdi_diff"	11	0	1	0	0	1	"N-glycan biosynthesis, high-mannose type"
"md:M00075"	"human"	13	0	1	0	-0.100573681924433	1	"N-glycan biosynthesis, complex type"
"md:M00075"	"hdi_diff"	13	0	1	0	-0.00904705002918709	1	"N-glycan biosynthesis, complex type"
"md:M00076"	"human"	5	2	0.0503115583795719	8.02960456832933	2.38525478257381	1	"Dermatan sulfate degradation"
"md:M00076"	"hdi_diff"	5	1	0.239139506216474	4.4521938071492	0.540830585508941	1	"Dermatan sulfate degradation"
"md:M00078"	"human"	9	1	0.512491183964788	1.50467815125084	0.603924322771436	1	"Heparan sulfate degradation"
"md:M00078"	"hdi_diff"	9	0	1	0	0.556928445055937	1	"Heparan sulfate degradation"
"md:M00082"	"human"	14	2	0.29235357291681	2.00692162457109	-0.378047013328872	1	"Fatty acid biosynthesis, initiation"
"md:M00082"	"hdi_diff"	14	5	0.000564875178912452	9.92001044862647	0.493397038012689	0.89137303232385	"Fatty acid biosynthesis, initiation"
"md:M00083"	"human"	14	3	0.0867993810575892	3.28570730787288	0.284808759889476	1	"Fatty acid biosynthesis, elongation"
"md:M00083"	"hdi_diff"	14	2	0.168815387904845	2.96944295347449	-0.239891802613082	1	"Fatty acid biosynthesis, elongation"
"md:M00085"	"human"	6	0	1	0	0	1	"Fatty acid elongation in mitochondria"
"md:M00085"	"hdi_diff"	6	0	1	0	0	1	"Fatty acid elongation in mitochondria"
"md:M00087"	"human"	19	3	0.174878720092331	2.25849724490576	0.554419375808962	1	"beta-Oxidation"
"md:M00087"	"hdi_diff"	19	0	1	0	-0.0927499625184072	1	"beta-Oxidation"
"md:M00088"	"human"	5	0	1	0	-0.0975463644888275	1	"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"
"md:M00088"	"hdi_diff"	5	2	0.0253863720841277	11.8798794351767	1.09083964392512	1	"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"
"md:M00089"	"human"	22	0	1	0	-0.0400800227579403	1	"Triacylglycerol biosynthesis"
"md:M00089"	"hdi_diff"	22	1	0.699694377057889	0.847537338828507	-0.151338427077628	1	"Triacylglycerol biosynthesis"
"md:M00090"	"human"	5	1	0.329079506857383	3.0097458283033	0.0762880055180492	1	"Phosphatidylcholine (PC) biosynthesis, choline => PC"
"md:M00090"	"hdi_diff"	5	0	1	0	-0.00672951269552573	1	"Phosphatidylcholine (PC) biosynthesis, choline => PC"
"md:M00092"	"human"	5	0	1	0	0	1	"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE"
"md:M00092"	"hdi_diff"	5	0	1	0	0	1	"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE"
"md:M00094"	"human"	8	0	1	0	-0.319758886226636	1	"Ceramide biosynthesis"
"md:M00094"	"hdi_diff"	8	0	1	0	-0.0161929837532385	1	"Ceramide biosynthesis"
"md:M00095"	"human"	8	2	0.120894153426302	4.01503653359285	-0.733361916073765	1	"C5 isoprenoid biosynthesis, mevalonate pathway"
"md:M00095"	"hdi_diff"	8	2	0.063924627658222	5.93990571761088	0.118173516193922	1	"C5 isoprenoid biosynthesis, mevalonate pathway"
"md:M00096"	"human"	9	1	0.512491183964788	1.50467815125084	0.0734449331455313	1	"C5 isoprenoid biosynthesis, non-mevalonate pathway"
"md:M00096"	"hdi_diff"	9	0	1	0	-0.0643031189899883	1	"C5 isoprenoid biosynthesis, non-mevalonate pathway"
"md:M00097"	"human"	6	1	0.38055745426625	2.40774161159199	-0.328929846766246	1	"beta-Carotene biosynthesis, GGAP => beta-carotene"
"md:M00097"	"hdi_diff"	6	0	1	0	-0.170511527594724	1	"beta-Carotene biosynthesis, GGAP => beta-carotene"
"md:M00098"	"human"	16	0	1	0	-0.0240750365626513	1	"Acylglycerol degradation"
"md:M00098"	"hdi_diff"	16	1	0.583042264005003	1.18683344378714	0.0374556371479156	1	"Acylglycerol degradation"
"md:M00099"	"human"	11	1	0.584443860668688	1.203664728855	-0.715454594094537	1	"Sphingosine biosynthesis"
"md:M00099"	"hdi_diff"	11	1	0.45192555534742	1.7805782969183	-0.296332319703502	1	"Sphingosine biosynthesis"
"md:M00101"	"human"	10	0	1	0	0.00993471903962937	1	"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol"
"md:M00101"	"hdi_diff"	10	0	1	0	0.0825457762458459	1	"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol"
"md:M00102"	"human"	11	0	1	0	0.00451987724502786	1	"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol"
"md:M00102"	"hdi_diff"	11	0	1	0	0.0867303018241709	1	"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol"
"md:M00104"	"human"	12	0	1	0	0	1	"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate"
"md:M00104"	"hdi_diff"	12	0	1	0	0	1	"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate"
"md:M00109"	"human"	5	0	1	0	0	1	"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"
"md:M00109"	"hdi_diff"	5	0	1	0	0	1	"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"
"md:M00112"	"human"	5	1	0.329079506857383	3.0097458283033	1.26467151535253	1	"Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol"
"md:M00112"	"hdi_diff"	5	0	1	0	0.625073829258949	1	"Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol"
"md:M00113"	"human"	8	0	1	0	0	1	"Jasmonic acid biosynthesis"
"md:M00113"	"hdi_diff"	8	0	1	0	0	1	"Jasmonic acid biosynthesis"
"md:M00114"	"human"	8	0	1	0	0.423652264446399	1	"Ascorbate biosynthesis, plants, fructose-6P => ascorbate"
"md:M00114"	"hdi_diff"	8	1	0.354231891695756	2.54389339237334	0.55312198420361	1	"Ascorbate biosynthesis, plants, fructose-6P => ascorbate"
"md:M00115"	"human"	8	1	0.471972259385489	1.71970315176048	-0.0572483727275728	1	"NAD biosynthesis, aspartate => quinolinate => NAD"
"md:M00115"	"hdi_diff"	8	2	0.063924627658222	5.93990571761088	0.242457313334745	1	"NAD biosynthesis, aspartate => quinolinate => NAD"
"md:M00116"	"human"	9	0	1	0	0.194130565783057	1	"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol"
"md:M00116"	"hdi_diff"	9	2	0.0793594904161492	5.09110853959073	-0.388188557690117	1	"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol"
"md:M00117"	"human"	11	4	0.00734882769040101	6.88848015603586	2.00052340959595	1	"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol"
"md:M00117"	"hdi_diff"	11	1	0.45192555534742	1.7805782969183	-0.737874619714683	1	"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol"
"md:M00118"	"human"	5	0	1	0	0.379964154685642	1	"Glutathione biosynthesis, glutamate => glutathione"
"md:M00118"	"hdi_diff"	5	0	1	0	0.209887280075043	1	"Glutathione biosynthesis, glutamate => glutathione"
"md:M00119"	"human"	6	0	1	0	0.136391150702033	1	"Pantothenate biosynthesis, valine/L-aspartate => pantothenate"
"md:M00119"	"hdi_diff"	6	1	0.279617463196384	3.56167328064575	-0.0647919227550707	1	"Pantothenate biosynthesis, valine/L-aspartate => pantothenate"
"md:M00120"	"human"	12	2	0.233631755105311	2.40846057859777	0.175291133606446	1	"Coenzyme A biosynthesis, pantothenate => CoA"
"md:M00120"	"hdi_diff"	12	2	0.131115622573568	3.56356117888273	-0.136092312230121	1	"Coenzyme A biosynthesis, pantothenate => CoA"
"md:M00121"	"human"	15	1	0.69806935267474	0.859620151339201	0.396277902653387	1	"Heme biosynthesis, plants and bacteria, glutamate => heme"
"md:M00121"	"hdi_diff"	15	2	0.18828099395257	2.74094202197547	-0.0926320245691004	1	"Heme biosynthesis, plants and bacteria, glutamate => heme"
"md:M00122"	"human"	10	1	0.549902298620793	1.3374497257001	-0.160199778251712	1	"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin"
"md:M00122"	"hdi_diff"	10	7	1.23560393686162e-07	41.7221675535076	0.664268131035154	0.000200044277377896	"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin"
"md:M00123"	"human"	6	1	0.38055745426625	2.40774161159199	0.22824146182192	1	"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"
"md:M00123"	"hdi_diff"	6	3	0.00265967361853947	17.8287239602215	0.430392655941959	1	"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"
"md:M00124"	"human"	6	1	0.38055745426625	2.40774161159199	0.0668333350225455	1	"Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P"
"md:M00124"	"hdi_diff"	6	0	1	0	-0.0422927669579551	1	"Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P"
"md:M00125"	"human"	17	1	0.742642124683452	0.752096227255465	0.0943187190622386	1	"Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD"
"md:M00125"	"hdi_diff"	17	3	0.0584432548289538	3.81989734035199	0.136606765945306	1	"Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD"
"md:M00126"	"human"	17	2	0.378886953497086	1.60532904001332	0.0708199367467596	1	"Tetrahydrofolate biosynthesis, GTP => THF"
"md:M00126"	"hdi_diff"	17	3	0.0584432548289538	3.81989734035199	0.0152108591891873	1	"Tetrahydrofolate biosynthesis, GTP => THF"
"md:M00127"	"human"	11	0	1	0	0.0737287368331553	1	"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP"
"md:M00127"	"hdi_diff"	11	1	0.45192555534742	1.7805782969183	0.0670677157055002	1	"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP"
"md:M00128"	"human"	5	0	1	0	0	1	"Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol"
"md:M00128"	"hdi_diff"	5	0	1	0	0	1	"Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol"
"md:M00129"	"human"	7	2	0.0953772030202089	4.81763956364698	0.984878656798834	1	"Ascorbate biosynthesis, animals, glucose-1P => ascorbate"
"md:M00129"	"hdi_diff"	7	1	0.317943483691064	2.96799270378516	-0.956549436289376	1	"Ascorbate biosynthesis, animals, glucose-1P => ascorbate"
"md:M00130"	"human"	12	0	1	0	0	1	"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4"
"md:M00130"	"hdi_diff"	12	0	1	0	0	1	"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4"
"md:M00133"	"human"	7	3	0.01247118679513	9.03759117175857	-0.0652146177589809	1	"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
"md:M00133"	"hdi_diff"	7	3	0.00447067403846998	13.3736562571541	0.530233717552772	1	"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
"md:M00135"	"human"	5	2	0.0503115583795719	8.02960456832933	-0.164081924490851	1	"GABA biosynthesis, eukaryotes, putrescine => GABA"
"md:M00135"	"hdi_diff"	5	2	0.0253863720841277	11.8798794351767	0.259225914955376	1	"GABA biosynthesis, eukaryotes, putrescine => GABA"
