"ogs"	"tax"	"B_prev"	"V_prev"	"pval"	"effect"	"Zscore"	"annot"
"ko:K01715"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"crt; enoyl-CoA hydratase [EC:4.2.1.17]"
"ko:K01719"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]"
"ko:K01745"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]"
"ko:K01845"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]"
"ko:K01848"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]"
"ko:K01910"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"citC; [citrate (pro-3S)-lyase] ligase [EC:6.2.1.22]"
"ko:K02117"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]"
"ko:K02118"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B"
"ko:K02119"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C"
"ko:K02120"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D"
"ko:K02121"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"ATPVE, ntpE, atpE; V/A-type H+/Na+-transporting ATPase subunit E"
"ko:K02123"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I"
"ko:K02190"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"cbiK; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]"
"ko:K02231"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"cobP, cobU; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]"
"ko:K02232"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"cobQ, cbiP; adenosylcobyric acid synthase [EC:6.3.5.10]"
"ko:K02233"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"E2.7.8.26, cobS, cobV; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]"
"ko:K02371"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"fabK; enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]"
"ko:K02407"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"fliD; flagellar hook-associated protein 2"
"ko:K02560"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"lpxM, msbB; lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]"
"ko:K02669"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"pilT; twitching motility protein PilT"
"ko:K02848"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"waaP, rfaP; lipopolysaccharide core heptose(I) kinase [EC:2.7.1.235]"
"ko:K03300"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"TC.CITMHS; citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family"
"ko:K03326"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"TC.DCUC, dcuC, dcuD; C4-dicarboxylate transporter, DcuC family"
"ko:K03593"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"mrp, NUBPL; ATP-binding protein involved in chromosome partitioning"
"ko:K03605"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"hyaD, hybD; hydrogenase maturation protease [EC:3.4.23.-]"
"ko:K03612"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"rnfG; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G"
"ko:K03613"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"rnfE; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E"
"ko:K03614"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"rnfD; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.1.1.11 7.2.1.2]"
"ko:K03615"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"rnfC; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2]"
"ko:K03617"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"rnfA; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A"
"ko:K03724"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"lhr; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.13 5.6.2.4]"
"ko:K03734"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"apbE; FAD:protein FMN transferase [EC:2.7.1.180]"
"ko:K03975"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"dedA; membrane-associated protein"
"ko:K04074"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"divIVA; cell division initiation protein"
"ko:K04092"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"tyrA1; chorismate mutase [EC:5.4.99.5]"
"ko:K04093"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"pheA1; chorismate mutase [EC:5.4.99.5]"
"ko:K04100"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"ligA; protocatechuate 4,5-dioxygenase, alpha chain [EC:1.13.11.8]"
"ko:K04516"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"AROA1, aroA; chorismate mutase [EC:5.4.99.5]"
"ko:K04748"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"norQ; nitric oxide reductase NorQ protein"
"ko:K04773"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"sppA; protease IV [EC:3.4.21.-]"
"ko:K05554"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"actVII; aromatase [EC:4.2.1.-]"
"ko:K05568"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"mnhD, mrpD; multicomponent Na+:H+ antiporter subunit D"
"ko:K05830"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"lysJ, argD; [amino-group carrier protein]-gamma-(L-lysyl/L-ornithyl)-L-glutamate aminotransferase [EC:2.6.1.118 2.6.1.124]"
"ko:K05878"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"dhaK; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]"
"ko:K06076"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"fadL; long-chain fatty acid transport protein"
"ko:K06149"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"uspA; universal stress protein A"
"ko:K06213"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"mgtE; magnesium transporter"
"ko:K06416"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"spoVS; stage V sporulation protein S"
"ko:K06714"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"rocR; arginine utilization regulatory protein"
"ko:K06962"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"K06962; uncharacterized protein"
"ko:K06975"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"K06975; uncharacterized protein"
"ko:K07025"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"K07025; putative hydrolase of the HAD superfamily"
"ko:K07084"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"yuiF; putative amino acid transporter"
"ko:K07246"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"ttuC, dmlA; tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83]"
"ko:K07322"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"ytfE, scdA; regulator of cell morphogenesis and NO signaling"
"ko:K07651"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"resE; two-component system, OmpR family, sensor histidine kinase ResE [EC:2.7.13.3]"
"ko:K07652"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"vicK; two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]"
"ko:K08296"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"sixA; phosphohistidine phosphatase [EC:3.1.3.-]"
"ko:K08941"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"pscB; photosystem P840 reaction center iron-sulfur protein"
"ko:K08974"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"K08974; putative membrane protein"
"ko:K09251"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"patA; putrescine aminotransferase [EC:2.6.1.82]"
"ko:K09975"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"K09975; uncharacterized protein"
"ko:K10441"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"rbsA; ribose transport system ATP-binding protein [EC:7.5.2.7]"
"ko:K10714"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"mtdB; methylene-tetrahydromethanopterin dehydrogenase [EC:1.5.1.-]"
"ko:K10806"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"yciA; acyl-CoA thioesterase YciA [EC:3.1.2.-]"
"ko:K11069"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"potD; spermidine/putrescine transport system substrate-binding protein"
"ko:K11070"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"potC; spermidine/putrescine transport system permease protein"
"ko:K11071"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"potB; spermidine/putrescine transport system permease protein"
"ko:K11072"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"potA; spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]"
"ko:K11358"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"yhdR; aspartate aminotransferase [EC:2.6.1.1]"
"ko:K11529"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"gck, gckA, GLYCTK; glycerate 2-kinase [EC:2.7.1.165]"
"ko:K11777"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"K11777; HAD superfamily phosphatase"
"ko:K11921"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"cynR; LysR family transcriptional regulator, cyn operon transcriptional activator"
"ko:K12140"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"hyfE; hydrogenase-4 component E [EC:1.-.-.-]"
"ko:K12141"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"hyfF; hydrogenase-4 component F [EC:1.-.-.-]"
"ko:K12142"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"hyfG; hydrogenase-4 component G [EC:1.-.-.-]"
"ko:K12410"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"npdA; NAD-dependent deacetylase [EC:2.3.1.286]"
"ko:K13788"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"pta; phosphate acetyltransferase [EC:2.3.1.8]"
"ko:K13832"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"aroDE, DHQ-SDH; 3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]"
"ko:K14064"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"uspC; universal stress protein C"
"ko:K14065"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"uspD; universal stress protein D"
"ko:K14088"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"echC; ech hydrogenase subunit C"
"ko:K14187"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"tyrA; chorismate mutase / prephenate dehydrogenase [EC:5.4.99.5 1.3.1.12]"
"ko:K14330"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"K14330; fatty aldehyde-generating acyl-ACP reductase [EC:1.2.1.80]"
"ko:K15024"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"K15024; putative phosphotransacetylase [EC:2.3.1.8]"
"ko:K15045"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"RSAD2; radical S-adenosyl methionine domain-containing protein 2"
"ko:K15671"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"rifB; rifamycin polyketide synthase modules 4, 5 and 6"
"ko:K15738"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"uup; ABC transport system ATP-binding/permease protein"
"ko:K15777"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"DODA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]"
"ko:K15830"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"hycE; formate hydrogenlyase subunit 5"
"ko:K15866"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"paaG; 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]"
"ko:K15885"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"mtmQ; C7-C12 aromatase (ARO/CYC) [EC:4.2.1.-]"
"ko:K15987"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"hppA; K(+)-stimulated pyrophosphate-energized sodium pump [EC:7.1.3.2]"
"ko:K16133"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"mcyI; microcystin synthetase protein McyI"
"ko:K17063"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"bgtA; arginine/lysine/histidine/glutamine transport system ATP-binding protein [EC:7.4.2.1]"
"ko:K17073"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"lysX1; putative lysine transport system substrate-binding protein"
"ko:K17074"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"lysX2; putative lysine transport system permease protein"
"ko:K17076"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"lysY; putative lysine transport system ATP-binding protein"
"ko:K18122"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"cat2, abfT; 4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]"
"ko:K18292"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"E4.1.3.25; (S)-citramalyl-CoA lyase [EC:4.1.3.25]"
"ko:K18475"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"fliB; lysine-N-methylase [EC:2.1.1.-]"
"ko:K18612"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"E1.2.1.100; 5-formyl-3-hydroxy-2-methylpyridine 4-carboxylic acid 5-dehydrogenase [EC:1.2.1.100]"
"ko:K19587"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"oqxR; Rrf2 family transcriptional regulator, repressor of oqxAB"
"ko:K19802"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"ycjG, ykfB; L-Ala-D/L-Glu epimerase [EC:5.1.1.20]"
"ko:K19965"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"folQ; dihydroneopterin triphosphate pyrophosphohydrolase [EC:3.6.1.67]"
"ko:K20265"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"gadC; glutamate:GABA antiporter"
"ko:K20391"	"f__Acidaminococcaceae"	0	1	7.7504671981627e-09	-6.6582114827518	-5.77379728956902	"plcR; HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes"
"ko:K20626"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"lcdA; lactoyl-CoA dehydratase subunit alpha [EC:4.2.1.54]"
"ko:K20627"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"lcdB; lactoyl-CoA dehydratase subunit beta [EC:4.2.1.54]"
"ko:K20903"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"hgdA; (R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha [EC:4.2.1.167]"
"ko:K20904"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	"hgdB; (R)-2-hydroxyglutaryl-CoA dehydratase subunit beta [EC:4.2.1.167]"
"ko:K20905"	"f__Acidaminococcaceae"	1	0	7.7504671981627e-09	6.6582114827518	5.77379728956902	NA
